Name,Assign,Charter,Priority,Status,Task type
Selfie Verification screens,Karuna Sankolli,B2B Pod,,Developed,
Repayment summary screen,Karuna Sankolli,LMS Pod,,Developed,
MFC integration,Vinit Pramod Sarode,,,Ready for kickoff,
MFD payout report,Vinit Pramod Sarode,MFD Pod,,Ready for kickoff,
"Makers Design ",Karuna Sankolli,NBFC Pod,,Developed,
Batch Approval,Karuna Sankolli,NBFC Pod,,Deprioritised,
Risk Reporting,Karuna Sankolli,NBFC Pod,P1,Deprioritised,
Virtual Account and Repayment on CC,Karuna Sankolli,NBFC Pod,,Developed,
QC Rejection,Karuna Sankolli,NBFC Pod,,Developed,
2FA Verification,,NBFC Pod,,Developed,
"FE screen revamp ",,Design Initiatives,P0,Ready for kickoff,
User Research,Karuna Sankolli,Design Initiatives,,Not started,
"Foreclosure Requests  ",Karuna Sankolli,NBFC Pod,,Developed,
User details,,LMS Pod,,Ready for kickoff,
DS: Phase 1 screens with tokens,,Design Initiatives,,Ready for kickoff,
Lodgement Enhancement,Karuna Sankolli,NBFC Pod,,Deprioritised,Sprint
Line enhancement nudge,,LMS Pod,P0,Ready for kickoff,
Loan foreclosure reasons,Karuna Sankolli,LMS Pod,,Developed,
Bank and Mandate update,,LMS Pod,,Not started,
"CSAT ",,LMS Pod,,Not started,
Build version number,,,,Developed,
Generic error screen,,Design Initiatives,P0,Not started,
Design roadmap with KPIs,,Design Initiatives,,Developed,
View completed tasks,Karuna Sankolli,NBFC Pod,,Deprioritised,
Lodgement addition and removal maker,Karuna Sankolli,NBFC Pod,,Ready for kickoff,Sprint
"QC ops TAT ",Karuna Sankolli,NBFC Pod,,Deprioritised,
Repayment flow,,LMS Pod,,Deprioritised,
MFC front load,Vinit Pramod Sarode,LOS Pod,,Deprioritised,
Overdue amount,,NBFC Pod,,Ready for kickoff,
BFL Lender details,,,,Developed,
"Loan account creation error handling ",,LOS Pod,,Ready for kickoff,
"Error modal for no network ",,LOS Pod,,Not started,
Makers User Detail Update,,NBFC Pod,,Developed,
Reason for frozen account,Karuna Sankolli,NBFC Pod,,Ready for kickoff,
DSP website,Vinit Pramod Sarode,Design Initiatives,,Developed,
Document component,,NBFC Pod,,Ready for kickoff,Sprint
View documents added by maker in checker,,NBFC Pod,,Not started,Ad-Hoc
CKYC Flow integration,,LOS Pod,,Ready for kickoff,
AI integration in design,,Design Initiatives,P1,Deprioritised,
MFD UI screen exploration,,MFD Pod,,Deprioritised,
Autopay UI,,LOS Pod,,Not started,
Compliance changes in loan offer screen,,LOS Pod,P0,Ready for kickoff,
Biometrics addition of 2 screens,,LOS Pod,,Developed,
Sell off repayment + initiation maker,,NBFC Pod,,Not started,
CKYC New flow,,LOS Pod,P0,Ready for kickoff,Sprint
Mandate update for better conversion,,NBFC Pod,P1,Not started,
Project Elevate,,LMS Pod,,Ready for kickoff,
Project elevate V2,,LMS Pod,P2,Deprioritised,
Appsmith design,,LMS Pod,P0,Ready for kickoff,
Mandate CC change,,NBFC Pod,P0,Ready for kickoff,
View and download statements,,NBFC Pod,P0,Ready for kickoff,
LOS journey V2,,LOS Pod,P1,Deprioritised,
MFD website changes,,MFD Pod,,Not started,
Queries for MFDs,,MFD Pod,,Not started,
Onboarding MFD changes,,MFD Pod,P0,Developed,
Figma file arrangement,,Design Initiatives,P0,Developed,
Components,,Design Initiatives,,Not started,
Illustration system,,Design Initiatives,,Not started,
Education throughout app,,Design Initiatives,,Not started,
Changes in OTP component,,LMS Pod,,Developed,
Additional details,,NBFC Pod,,Ready for kickoff,
Bulk sell off,,NBFC Pod,,Developed,
Reduce foreclosure failure rate for BFL customers,,LMS Pod,,Developed,
Lodgement failure communication,,LMS Pod,,Not started,
Unpledge - fund level status,,LMS Pod,,Not started,
"Enhancement for MFD discoverability ",,MFD Pod,,Not started,
VKYC for TATA flow,,LOS Pod,P1,Deprioritised,
Redemption regret calculator,,MFD Pod,,Not started,
DSP vodka design changes,,NBFC Pod,,Deprioritised,
"Chatbot integration ",,B2B Pod,,Ready for kickoff,
Pre fetch optimisation,,LOS Pod,P0,Ready for kickoff,Sprint
Copy system for Volt,,Design Initiatives,,In progress,
Dark mode updates,,Design Initiatives,,Developed,
B2B Theme issues,,Design Initiatives,,Not started,
Father’s name,,LOS Pod,,Ready for kickoff,
Information Architecture,,Design Initiatives,,Deprioritised,
TCL Repayment schedule,,,,Developed,
,,B2B Pod,,Not started,
Loan Offer page,Karuna Sankolli,Design Initiatives,P0,In progress,
Frontend UI fixes [small],,Design Initiatives,,In progress,