PRD,Last Edited,PRD ETA,PRD Owner,Status
NBFC PG Evaluation,"April 8, 2025 1:06 PM",,Surya Ganesh,
[Platform] Mandate collection enhancement,"September 18, 2025 12:41 PM","March 20, 2025",Vaibhav Arora,Completed
[Platform] Disbursement optimisation to handle cross billing cycle reversals,"May 6, 2025 7:03 AM",,Vaibhav Arora,Completed
[Platform] Foreclosure handling to support Volt foreclosure workflow,"May 6, 2025 7:03 AM","March 31, 2025",Vaibhav Arora,Completed
"[Platform] Decoupling of dishonour fees with mandate presentation ","June 27, 2025 8:44 AM",,Vaibhav Arora,Completed
API flow for KFS and Agreement,"June 5, 2025 10:48 AM","May 6, 2025",Vaibhav Arora,Completed
,"May 6, 2025 7:18 AM",,,
Additional details enhancement,"June 27, 2025 8:43 AM",,Vaibhav Arora,Completed
Enhancing Collections Efficiency Through Mid-Month (Second) Mandate Presentation,"June 10, 2025 12:30 AM",,,
Dishonour charge enhancement,"July 4, 2025 2:02 PM","June 16, 2025",Vaibhav Arora,Completed
NESL report,"June 16, 2025 3:23 PM",,,
LAS: Collateral management system,"July 28, 2025 8:43 PM","June 27, 2025",Vaibhav Arora,Completed
Template (PRD),"June 27, 2025 12:37 PM",,,
Pincode addition: Account opening enhancement,"July 11, 2025 5:11 PM","July 8, 2025",Vaibhav Arora,Pending review
LAS LMS Product Note,"March 16, 2026 4:03 PM",,Vaibhav Arora,Completed
Credit note PRD,"August 22, 2025 11:40 AM","July 22, 2025",Vaibhav Arora,Pending review
Charge details on Command centre,"July 23, 2025 11:30 AM","July 23, 2025",Vaibhav Arora,Completed
Term loan gaps,"July 24, 2025 5:10 PM",,Vaibhav Arora,
Risk management system: LAS,"May 2, 2026 12:26 PM","August 6, 2025",Vaibhav Arora,Completed
Banking partner finalization,"August 11, 2025 6:58 PM",,,
Template (PRD),"August 12, 2025 8:20 PM",,,
LAS CMS: Lodgement,"October 30, 2025 7:51 PM","August 20, 2025",Vaibhav Arora,Completed
IFSC addition: Account opening enhancement,"September 1, 2025 10:22 PM","August 20, 2025",Vaibhav Arora,Completed
Collateral release enhancement,"September 8, 2025 12:09 PM","September 8, 2025",Vaibhav Arora,In progress
DSP Consent Architecture (Oct25),"January 8, 2026 7:41 PM","October 31, 2025",Gautam Mahesh,In progress
LAS CMS: Unlodgement,"March 19, 2026 9:44 PM","October 30, 2025",Vaibhav Arora,Completed
LAS CMS: Confiscation and sale of securities,"November 17, 2025 12:01 PM","October 30, 2025",Vaibhav Arora,Completed
Charge reversal enhancement,"November 18, 2025 5:25 PM","July 22, 2025",Vaibhav Arora,Completed
Suspension framework,"December 30, 2025 2:23 PM","November 12, 2025",Vaibhav Arora,Completed
LSP: Presentation enhancement for externally registered mandates,"November 21, 2025 2:07 PM","November 10, 2025",Vaibhav Arora,Completed
Trackwizz continuos monitoring enhancement,"November 13, 2025 12:39 PM",,Vaibhav Arora,
Product Note: Interest Refund via Credit Note,"January 23, 2026 8:15 PM","July 22, 2025",Vaibhav Arora,Completed
Tally ERP Integration,"March 19, 2026 9:44 PM",,Vaibhav Arora,Completed
Unpledge - Stocks selection logic,"March 19, 2026 9:44 PM",,Ranjan kumar Singh,Completed
FD: Fixerra,"December 1, 2025 2:13 PM",,,
Product note template evaluation,"March 19, 2026 9:44 PM",,Vaibhav Arora,Completed
BRD: Enhancements to Schedule & Derived Details Processing for OD (Loan Against Mutual Funds),"December 11, 2025 2:41 PM",,Vaibhav Arora,Completed
Charge reversal enhancement V2,"March 19, 2026 9:44 PM","December 11, 2025",Vaibhav Arora,Completed
Colending: Disbursement and Charge knock off,"March 19, 2026 9:44 PM","January 16, 2026",Vaibhav Arora,Completed
LMS: Multiple sell off requests,"March 19, 2026 9:44 PM","January 16, 2026",Vaibhav Arora,Completed
BRD: Interest Refund via Credit Note - OD,"March 19, 2026 9:44 PM",,,Completed
Finflux Product Setup for Co-Lending,"March 19, 2026 9:44 PM","January 27, 2026",Vaibhav Arora,Completed
BRD: Interest Refund via Credit Note - OD - V2,"March 19, 2026 9:44 PM",,Vaibhav Arora,Completed
Corporate action - Data feed,"March 19, 2026 9:44 PM",,Vaibhav Arora,Completed
Volt - Shortfall Communication Enhancement – Due Date Based Messaging,"March 31, 2026 11:28 AM","March 9, 2026",Vaibhav Arora,Completed
Volt - Overdue Communication Enhancement,"April 3, 2026 11:14 AM","March 9, 2026",Vaibhav Arora,Completed
Transaction Sequencing & Transaction Workflows for Co-Lending LMS,"March 19, 2026 9:44 PM","March 10, 2026",Vaibhav Arora,Completed
Product Note: LAS Customer Consent Capture,"March 16, 2026 2:48 PM","March 11, 2026",Vaibhav Arora,Completed
Product Note: Penalty migration to Fenix (Colending),"April 14, 2026 4:02 PM","March 15, 2026",Vaibhav Arora,Completed
Product note: Foreclosure (Colending),"May 19, 2026 2:47 PM","March 15, 2026",Vaibhav Arora,Completed
Product note: Interest rate change handling,"March 19, 2026 9:51 PM","March 19, 2026",Vaibhav Arora,Pending review
Product note: Virtual account handling for Colending,"April 7, 2026 3:38 PM","March 25, 2026",Vaibhav Arora,Completed
Product note: Razorpay PG integration Colending,"April 7, 2026 3:38 PM","March 26, 2026",Vaibhav Arora,Completed
Product note: Excess refund Colending,"April 7, 2026 3:38 PM","March 26, 2026",Vaibhav Arora,Completed
Product note: Foreclosure V2 for Colending,"April 24, 2026 7:43 AM","April 7, 2026",Vaibhav Arora,Pending review
Product note: Credit note for TL,"April 28, 2026 4:45 PM","April 17, 2026",Vaibhav Arora,Pending review
Approved Scrips productisation,"May 8, 2026 12:03 PM","April 21, 2026",Vaibhav Arora,Pending review
Razorpay SDK enhancement for Colending,"April 22, 2026 6:29 PM","April 22, 2026",Vaibhav Arora,Pending review
Shortfall Enhancement,"May 6, 2026 2:55 PM","April 23, 2026",Vaibhav Arora,Completed
Analytics requirement for amortisation of PF,"April 24, 2026 8:59 AM","April 24, 2026",Vaibhav Arora,Pending review
Disbursement simulation - LMS,"May 22, 2026 3:49 PM","May 5, 2026",Vaibhav Arora,Pending review
,"May 11, 2026 3:40 PM",,,
Product Note: Post-Loan ROI Correction Workflow,"May 15, 2026 7:22 PM","May 15, 2026",Abhijeet Jha,Pending review
PMR consumption,"May 19, 2026 5:45 PM","May 19, 2026",Vaibhav Arora,Pending review
Part payments - No cost EMI / TL (Cred),"May 22, 2026 11:34 AM","May 22, 2026",Vaibhav Arora,Pending review
PPSL UPI mandate presentation,"May 25, 2026 10:00 PM","May 25, 2026",Vaibhav Arora,Pending review
Loan cancellation - No cost EMI / TL (Cred),"May 26, 2026 9:08 PM","May 26, 2026",Vaibhav Arora,Pending review