Responsibility,Decription,Owner,Priority Level,Status
External integrations: LOS and LMS,- LOS integration,,,Done
Asset underwriting,- Validate pledged ISINs against eligibility list(Approved list management),,,Not started
Valuation & LTV Monitoring,- Fetch real-time prices (via NSE/BSE)(NAV management) - Accord fintech / CMOTS as data providers,,,Not started
,"- Apply haircuts per asset type- Rules engine for ISIN eligibility, haircut %, LTV limits(LTV management)(Collateral classification: Categories)(Base rule management)(Portfolio classification)",,,Not started
Lien Lifecycle Management,"Revocation: On loan closure or prepayment, initiate release(Revocation request creation)(Management of release of collaterals from CMS and LMS)",,,Not started
,Margin pledge: Allow additional lien under same facility,,,Not started
,"Corporate actions: Swap pledged assets in scenarios of collateral management- Bonus (Add additional units basis pledge instruction number)- Stock split (Management of split ratio and corresponding unit management, in scenarios of ISIN change, update ISIN, and removal of old ISIN and blocking of ISINs across loans - Drawing power management)- Mergers - Demergers",,,Not started
Reconciliation,- Reconcile internal collateral records with SHCIL PMR- Reconcile assets between CMS and LMS as a EOD operation (Anomaly detection),,,Not started
,"- Detect anomalies (missing liens, incorrect LTVs)",,,Not started
Ops Tooling (Command center),"- Dashboard for lien status, revocation, corporate actions",,,Not started
,- Manual lien/revoke triggers (Initiate collateral release and invocations),,,Not started
,"- Filters by BOID, folio, ISIN, LTV band",,,Not started
,"- Shortfall management, aging and invocation management",,,Not started
PMR consumption: SHCIL,SHCIL PMR consumption and pledged collateral management,Vaibhav Arora,High,Done
MFD dashboard change,-,,,Not started
Sample PMR transactions,,,,Done