User issue,Platform,Reference Link/ID,Classification,PRD/Solution mapping,Status,Notes
User had to create 3 mandates in a span of 3 months,Zendesk,,Mandate Reuse,PRD ready,Solutioning pending,"Re use mandate for users so that they dont have to recreate everytime. 

Consider manual mandate set ups and respective expiry to handle"
User was trying to repay on their Tata loan but we were unable to diagnose the error since Tata does not give us that information,Zendesk,https://volt7307.zendesk.com/agent/tickets/13084,Tata transaction status,PRD ready,Solutioning pending,Check with Tata if they can give us failure reason of payment
User repaid on a working day within business hours yet the payment got settled the next day with Tata,Zendesk,https://volt7307.zendesk.com/agent/tickets/13077,Tata repayment settlement,PRD ready,Solutioning pending,Discussion in progress with Tata
Bajaj signature was not generating and user was kept in a waiting state,Zendesk,https://volt7307.zendesk.com/agent/tickets/13058,Bajaj agreement link generation,In Progress,In progress,"Bajaj callback API for agreement link "
While uploading documents in SDFC KFS got missed,Zendesk,https://volt7307.zendesk.com/agent/tickets/13055,Bajaj SFDC document upload,Pending,Solutioning pending,Understand why this happened? How can this be fixed? Can we check status of document upload before moving the customer forward
"User’s pledging failed for Karvy and when they retried, we charged the user processing fee twice without withdrawal - Tata",Zendesk,https://volt7307.zendesk.com/agent/tickets/13013,Karvy pledging issue,Pending,Solutioning pending,"Check with Karvy why pledging failed, we should have updated our creditapplication data automatically on pledge failure"
"User had an existing line with Tata, when he tried to take a loan again it failed due to dedupe logic at Tata",Wati,918250858364,Tata existing loan customer,Pending,Solutioning pending,To be closed and discussed with Tata
User was unsure of the daily interest utilisation based model and thought his interest will be fixed,Wati,919409652829,User education issue,Pending,Solutioning pending,Check how daily interest model can be informed to the user more effectively
"User was given a higher sanction amount than their credit limit, was able to place a withdrawal request before lodgement was done",Zendesk,https://volt7307.zendesk.com/agent/tickets/13404,Sanction Amount and credit limit handling,Pending,Solutioning pending,"Sanction amount instead of credit line amount is shown to the customer before lodgement, ideally withdrawal should be blocked or better communicated, there should be a failed state for all transactions"
"User got charged the processing fee since they did not make a withdrawal within the first month, they were not aware of this and caused an escalation",Wati,7974504413,Processing fee,Pending,Solutioning pending,"User got charged fee without disbursal, can comms be changed around this? how to ensure users are not surprised by seeing the charge posted in their account?"
Repayment status tracking,Zendesk,https://volt7307.zendesk.com/agent/tickets/13892,,PRD ready,Pending development,
"Cancel unpledge request ",Zendesk,https://volt7307.zendesk.com/agent/tickets/13889,Cancel unpledge,Pending,Solutioning pending,"User asked to cancel unpledge request, understand why this happened? User decided to not do it?"
Agreement link not generating for the user,Zendesk,https://volt7307.zendesk.com/agent/tickets/13888,Bajaj Agreement Link,Pending,Solutioning pending,"Bajaj delay in agreeement, understand why this happened"
Agreement link not generating for the user,Zendesk,https://volt7307.zendesk.com/agent/tickets/13886,Bajaj Agreement Link,Pending,Solutioning pending,"Bajaj delay in agreeement, understand why this happened"
Payment success but recon with lender failed,Zendesk,https://volt7307.zendesk.com/agent/tickets/14361,Tata recon,Pending,Solutioning pending,Tata recon failed (Understand APIs)
Application of the user was already completed and when the user was trying to sign the agreement again we were showing an error to the user,Zendesk,https://volt7307.zendesk.com/agent/tickets/14323,Tata loan application,Pending,Solutioning pending,
"""""""Will i come to know the interest amt earlier for keeping balance""""”",Wati,919821375595,UX issue,Pending,Solutioning pending,User wanted to see accrued interest (currently we communicate a couple days before) so that they can maintain the required balance on their bank account and avoid mandate failures (bounce charge)
"""""""Amount not yet received in account""""""",Wati,918486089719,Withdrawal Status,Fixed,Development completed,https://app.notion.com/p/ce173cf4a6704ea19342b4008fa48b9c?pvs=21
"""""""I want to loan from my Mutual Fund but how and how to repayment the loan amount, how much interest etc...""""”",Wati,917908790799,UX issue,Pending,Solutioning pending,User wanted to know about the specifics of the loan before applying on the landing page
"""""""I have a ticket open for unpledge""""”",Wati,919437780780,Unpledge request status,PRD under progress,PRD pending,User asked for the status of their unpledge request
"""Thanks a lot for the explanation. Can you also link to the documentation for this as I couldn't find it directly mentioned in the site, although LLA referenced it. My other query is : The processing fee of 999+GST will be applicable each time I make a withdrawal, or only during the creation of the credit line?""",Wati,917005467390,Processing Fee,Pending,Solutioning pending,"User asked if processing fees will be charged every time they make withdrawal, how to ensure this communication is straightforward"
"""""""Ok, but 10 lac show why?""""”",Wati,919156743753,Mandate amount,PRD ready,Pending development,User was unsure as loan amount was different than mandate amount
,,,,,,
,,,,,,
,,,,,,
,,,,,,