Names,Amrit,Kevin (Servicing),Mahesh,Naveen,Select,Name
Main areas of concerns,"rate of interest, foreclousure, processing fees, lein removal, repayment, additional top up, stocks, ","Instant disbursals, Delays, Unpledging and Forclosure. ELSS funds are possible for TATA, Schedule the loan disbursal time, ","Interest, How it works, Repayment. phone pe traffic is greater than influencers, Reconstruct their houses.","Portfolio value, Location.
I dont feel like I am doing the Pledging step 
Requirement : Urgency. Pay somebody, reinvest, NFO
Bugs on app vs web
",,
Common questions,"Process kaise hoga, loan disbursal process, their commission, Referral program ",10% buffer for Bajaj,"Repayment queries, How is my interest calculated, Stop growing, ownership changed, low ticket sizes, Dont need the loan right now, they want to check limit. ","- Processing fee channel
- Transparency KYC
- Fetch and Setting during this time we dont see the interestv or fees",,
Referral trust,"FFF, MFRT, ICA → Train advisors, ",,Yes,,,
"USPs ","interest rate, stocks, physical presence, commission | Convinience, One platform, Easy, Visibility, RM, Groups, iN HOUSE TECH, ",,"Reducing rate of interest, 10 hours Customer care, Balloon repayment.","

70-80% are cross checking
Interest rate, PF reduce, dedicated product",,
Trust,"Pledging will not affect the growth, Financial goal for which you started, long term plan gets hampered, no cibil requirement, Repay any time, Being in control, Reducing interest, ","unpledge request 10% buffer, shortfall, bad sell off experience, change in Sanction limit","NBFC license, TATA and Bajaj, ","- No brand val
- GST india
- NBFC license
- Lenders",,
Questions they ask,"Documents required? Time, What do they customers ask for, Limit kitna milega? LTV",,,,,
Misconceptions,"Sell off hojayega, Increase in interest rate, What will happen if I dont pay interest, Death, Data breach, Secure dashboard.",,,"N/A

Sell off ",,
Motivation,"Commission → AUM, Incentives, Progress and gamification, ",,"Rate of interest, Repayment.","Funds are safe, Bajaj and TATA, Instant ",,
Dashboard feedback,"AUM, Short of this trail, Weekly reports, Impact of AUM on their customers, interactive way","the number needs changed, choose funds, for tenure, lender change, MFD customers, 2 time sefie enchancement process","Short videos, Error. Govt app, Graphs to explain shortfall",,,
,,,,,,
,,,,,,