Name,Amrit,Kevin (Servicing),Mahesh,Names,Naveen,Select
,"rate of interest, foreclousure, processing fees, lein removal, repayment, additional top up, stocks, ","Instant disbursals, Delays, Unpledging and Forclosure. ELSS funds are possible for TATA, Schedule the loan disbursal time, ","Interest, How it works, Repayment. phone pe traffic is greater than influencers, Reconstruct their houses.",Main areas of concerns,"Portfolio value, Location.
I dont feel like I am doing the Pledging step 
Requirement : Urgency. Pay somebody, reinvest, NFO
Bugs on app vs web
",
,"AUM, Short of this trail, Weekly reports, Impact of AUM on their customers, interactive way","the number needs changed, choose funds, for tenure, lender change, MFD customers, 2 time sefie enchancement process","Short videos, Error. Govt app, Graphs to explain shortfall",Dashboard feedback,,
,"Process kaise hoga, loan disbursal process, their commission, Referral program ",10% buffer for Bajaj,"Repayment queries, How is my interest calculated, Stop growing, ownership changed, low ticket sizes, Dont need the loan right now, they want to check limit. ",Common questions,"- Processing fee channel
- Transparency KYC
- Fetch and Setting during this time we dont see the interestv or fees",
,"FFF, MFRT, ICA → Train advisors, ",,Yes,Referral trust,,
,"interest rate, stocks, physical presence, commission | Convinience, One platform, Easy, Visibility, RM, Groups, iN HOUSE TECH, ",,"Reducing rate of interest, 10 hours Customer care, Balloon repayment.","USPs ","

70-80% are cross checking
Interest rate, PF reduce, dedicated product",
,"Pledging will not affect the growth, Financial goal for which you started, long term plan gets hampered, no cibil requirement, Repay any time, Being in control, Reducing interest, ","unpledge request 10% buffer, shortfall, bad sell off experience, change in Sanction limit","NBFC license, TATA and Bajaj, ",Trust,"- No brand val
- GST india
- NBFC license
- Lenders",
,"Documents required? Time, What do they customers ask for, Limit kitna milega? LTV",,,Questions they ask,,
,"Sell off hojayega, Increase in interest rate, What will happen if I dont pay interest, Death, Data breach, Secure dashboard.",,,Misconceptions,"N/A

Sell off ",
,"Commission → AUM, Incentives, Progress and gamification, ",,"Rate of interest, Repayment.",Motivation,"Funds are safe, Bajaj and TATA, Instant ",
,,,,,,
,,,,,,