Name,Assign,Date,Status
Phase 1,,"November 11, 2024 → November 19, 2024",Not started
Phase 3.1,,"December 9, 2024 → December 17, 2024",Not started
Phase 2.1,,"November 18, 2024 → December 9, 2024",Not started
Phase 3.2,,"December 9, 2024 → January 7, 2025",Not started
Phase 4.1,,"January 6, 2025 → January 21, 2025",Not started
Phase 4.2,,"January 6, 2025 → March 31, 2025",Not started
Phase 5.1,,"January 20, 2025 → March 31, 2025",Not started
Phase 5.2,,"January 27, 2025 → February 11, 2025",Not started
Phase 6,,"February 10, 2025 → March 31, 2025",Not started
Phase 2.2,,"November 18, 2024 → December 20, 2024",Not started